category,baseline,baseline,baseline,baseline,baseline,baseline,baseline,baseline,baseline,baseline,baseline,baseline,cameraJitter,cameraJitter,cameraJitter,cameraJitter,cameraJitter,cameraJitter,cameraJitter,cameraJitter,cameraJitter,cameraJitter,cameraJitter,cameraJitter,badWeather,badWeather,badWeather,badWeather,badWeather,badWeather,badWeather,badWeather,badWeather,badWeather,badWeather,badWeather,dynamicBackground,dynamicBackground,dynamicBackground,dynamicBackground,dynamicBackground,dynamicBackground,dynamicBackground,dynamicBackground,dynamicBackground,dynamicBackground,dynamicBackground,dynamicBackground,dynamicBackground,dynamicBackground,dynamicBackground,dynamicBackground,dynamicBackground,dynamicBackground,intermittentObjectMotion,intermittentObjectMotion,intermittentObjectMotion,intermittentObjectMotion,intermittentObjectMotion,intermittentObjectMotion,intermittentObjectMotion,intermittentObjectMotion,intermittentObjectMotion,intermittentObjectMotion,intermittentObjectMotion,intermittentObjectMotion,intermittentObjectMotion,intermittentObjectMotion,intermittentObjectMotion,intermittentObjectMotion,intermittentObjectMotion,intermittentObjectMotion,lowFramerate,lowFramerate,lowFramerate,lowFramerate,lowFramerate,lowFramerate,lowFramerate,lowFramerate,lowFramerate,lowFramerate,lowFramerate,lowFramerate,nightVideos,nightVideos,nightVideos,nightVideos,nightVideos,nightVideos,nightVideos,nightVideos,nightVideos,nightVideos,nightVideos,nightVideos,nightVideos,nightVideos,nightVideos,nightVideos,nightVideos,nightVideos,PTZ,PTZ,PTZ,PTZ,PTZ,PTZ,PTZ,PTZ,PTZ,PTZ,PTZ,PTZ,shadow,shadow,shadow,shadow,shadow,shadow,shadow,shadow,shadow,shadow,shadow,shadow,shadow,shadow,shadow,shadow,shadow,shadow,thermal,thermal,thermal,thermal,thermal,thermal,thermal,thermal,thermal,thermal,thermal,thermal,thermal,thermal,thermal,turbulence,turbulence,turbulence,turbulence,turbulence,turbulence,turbulence,turbulence,turbulence,turbulence,turbulence,turbulence
scene,highway,highway,highway,pedestrians,pedestrians,pedestrians,office,office,office,PETS2006,PETS2006,PETS2006,badminton,badminton,badminton,traffic,traffic,traffic,boulevard,boulevard,boulevard,sidewalk,sidewalk,sidewalk,skating,skating,skating,blizzard,blizzard,blizzard,snowFall,snowFall,snowFall,wetSnow,wetSnow,wetSnow,boats,boats,boats,canoe,canoe,canoe,fall,fall,fall,fountain01,fountain01,fountain01,fountain02,fountain02,fountain02,overpass,overpass,overpass,abandonedBox,abandonedBox,abandonedBox,parking,parking,parking,sofa,sofa,sofa,streetLight,streetLight,streetLight,tramstop,tramstop,tramstop,winterDriveway,winterDriveway,winterDriveway,port_0_17fps,port_0_17fps,port_0_17fps,tramCrossroad_1fps,tramCrossroad_1fps,tramCrossroad_1fps,tunnelExit_0_35fps,tunnelExit_0_35fps,tunnelExit_0_35fps,turnpike_0_5fps,turnpike_0_5fps,turnpike_0_5fps,bridgeEntry,bridgeEntry,bridgeEntry,busyBoulvard,busyBoulvard,busyBoulvard,fluidHighway,fluidHighway,fluidHighway,streetCornerAtNight,streetCornerAtNight,streetCornerAtNight,tramStation,tramStation,tramStation,winterStreet,winterStreet,winterStreet,continuousPan,continuousPan,continuousPan,intermittentPan,intermittentPan,intermittentPan,twoPositionPTZCam,twoPositionPTZCam,twoPositionPTZCam,zoomInZoomOut,zoomInZoomOut,zoomInZoomOut,backdoor,backdoor,backdoor,bungalows,bungalows,bungalows,busStation,busStation,busStation,copyMachine,copyMachine,copyMachine,cubicle,cubicle,cubicle,peopleInShade,peopleInShade,peopleInShade,corridor,corridor,corridor,diningRoom,diningRoom,diningRoom,lakeSide,lakeSide,lakeSide,library,library,library,park,park,park,turbulence0,turbulence0,turbulence0,turbulence1,turbulence1,turbulence1,turbulence2,turbulence2,turbulence2,turbulence3,turbulence3,turbulence3
metric,FNR,Prec,F-score,FNR,Prec,F-score,FNR,Prec,F-score,FNR,Prec,F-score,FNR,Prec,F-score,FNR,Prec,F-score,FNR,Prec,F-score,FNR,Prec,F-score,FNR,Prec,F-score,FNR,Prec,F-score,FNR,Prec,F-score,FNR,Prec,F-score,FNR,Prec,F-score,FNR,Prec,F-score,FNR,Prec,F-score,FNR,Prec,F-score,FNR,Prec,F-score,FNR,Prec,F-score,FNR,Prec,F-score,FNR,Prec,F-score,FNR,Prec,F-score,FNR,Prec,F-score,FNR,Prec,F-score,FNR,Prec,F-score,FNR,Prec,F-score,FNR,Prec,F-score,FNR,Prec,F-score,FNR,Prec,F-score,FNR,Prec,F-score,FNR,Prec,F-score,FNR,Prec,F-score,FNR,Prec,F-score,FNR,Prec,F-score,FNR,Prec,F-score,FNR,Prec,F-score,FNR,Prec,F-score,FNR,Prec,F-score,FNR,Prec,F-score,FNR,Prec,F-score,FNR,Prec,F-score,FNR,Prec,F-score,FNR,Prec,F-score,FNR,Prec,F-score,FNR,Prec,F-score,FNR,Prec,F-score,FNR,Prec,F-score,FNR,Prec,F-score,FNR,Prec,F-score,FNR,Prec,F-score,FNR,Prec,F-score,FNR,Prec,F-score,FNR,Prec,F-score,FNR,Prec,F-score
FgSegNet 2.0,0,0,0,0.0011087623182272077,0.27002870567286236,0.4251321124421625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FgSegNet 2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0013487787786649053,0.44795727041528766,0.6184853438114264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FgSegNet 2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005367339905292479,0.15380343918485645,0.26641085898312383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FgSegNet 2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00015037954467800319,0.89561088501659,0.9448640062659034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FgSegNet 2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0008170787254083711,0.9999733536390709,0.9995779811950796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FgSegNet 2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0007456514411078308,0.9385015211469062,0.96792556874315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FgSegNet 2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012328109554472166,0.9539757466412664,0.9705314302424537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FgSegNet 2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0013963677695930654,0.5266577247199028,0.6896159985316278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
